City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Nicoya,CR,83.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
12,Dwarka,IN,77.68,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
14,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
21,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
23,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
28,Iralaya,HN,78.55,overcast clouds,15.0,-83.2333,Iglesia morava renovada
29,Hithadhoo,MV,82.56,few clouds,-0.6,73.0833,Scoop Guest House
30,Alindao,CF,74.28,overcast clouds,5.0267,21.2088,OCHA Alindao
32,Hobyo,SO,80.94,broken clouds,5.3505,48.5268,Iftin hotel hobyo
35,Arraial Do Cabo,BR,75.97,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
54,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
63,Biswan,IN,70.84,clear sky,27.5,81.0,Gausiya Hotel गौसिया होटल
67,Harper,LR,79.03,light rain,4.375,-7.7169,Screensaver
68,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Mongo,TD,76.26,clear sky,12.1844,18.693,Résidences du Programme FIDA
71,Dingle,PH,84.99,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
73,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
75,Bengkulu,ID,79.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
81,Sur,OM,77.52,clear sky,22.5667,59.5289,Sur Plaza Hotel
84,Geraldton,AU,79.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
92,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
99,Sao Joao Da Barra,BR,76.48,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
103,Kudahuvadhoo,MV,81.46,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
105,Cidreira,BR,73.67,overcast clouds,-30.1811,-50.2056,Hotel Castelo
109,Sao Filipe,CV,71.26,scattered clouds,14.8961,-24.4956,Hotel Xaguate
112,Marawi,PH,77.59,few clouds,7.9986,124.2928,Derogongan Residence
121,Padang,ID,77.05,clear sky,-0.9492,100.3543,Mercure Padang
122,San Cristobal,VE,71.78,few clouds,7.7669,-72.225,Pirineos
124,Brownsville,US,76.08,overcast clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
125,Maragogi,BR,78.12,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
129,East London,ZA,73.09,overcast clouds,-33.0153,27.9116,Tu Casa
131,Male,MV,82.35,few clouds,4.1748,73.5089,Hotel Octave Maldives
132,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
135,Camopi,GF,71.69,broken clouds,3.1655,-52.3158,La pousada
136,Suleja,NG,79.14,overcast clouds,9.1758,7.1808,Capy Motel
144,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
147,Biankouma,CI,74.52,broken clouds,7.7391,-7.6138,Hôtel Licolais
148,Lamu,KE,82.62,broken clouds,-2.2717,40.902,Lamu House
149,Tiruttani,IN,77.45,clear sky,13.177,79.6128,Karthikeyan Cottages
154,Ugoofaaru,MV,81.55,clear sky,5.6667,73.0,Ungoofaaru Inn
155,Pozo Colorado,PY,82.81,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
157,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
158,Nova Olinda Do Norte,BR,73.02,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
161,Puerto Narino,CO,70.81,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
164,Kalmunai,LK,78.19,clear sky,7.4167,81.8167,VS Villa
168,Axim,GH,80.04,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
172,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
