City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Garmsar,IR,35.2182,52.3409,52.3,29,0,4.07,clear sky
1,Kruisfontein,ZA,-34.0033,24.7314,60.89,95,98,5.41,overcast clouds
2,Tucuma,BR,-0.1833,-50.05,73.69,96,100,3.24,moderate rain
3,Nicoya,CR,10.1483,-85.452,83.55,58,100,6.96,overcast clouds
4,Ponta Do Sol,PT,32.6667,-17.1,64.0,70,58,5.41,broken clouds
5,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,8.05,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,26.76,76,100,11.99,overcast clouds
7,Westport,US,41.1415,-73.3579,35.56,35,0,10.36,clear sky
8,Dromolaxia,CY,34.8761,33.586,61.99,58,0,8.05,clear sky
9,Mikhaylovsk,RU,45.1283,42.0256,48.42,40,0,8.99,clear sky
10,Wum,CM,6.3833,10.0667,67.96,24,0,3.96,clear sky
11,Qaanaaq,GL,77.484,-69.3632,15.31,91,100,3.53,overcast clouds
12,Dwarka,IN,22.2394,68.9678,77.68,83,0,10.85,clear sky
13,Port Alfred,ZA,-33.5906,26.891,69.21,88,100,11.12,overcast clouds
14,Quatre Cocos,MU,-20.2078,57.7625,75.31,71,39,8.01,scattered clouds
15,Hofn,IS,64.2539,-15.2082,29.12,66,40,11.23,scattered clouds
16,Vardo,NO,70.3705,31.1107,29.46,73,100,26.04,light snow
17,Luderitz,NA,-26.6481,15.1594,62.15,86,60,12.15,broken clouds
18,Wagar,SD,16.1525,36.2032,77.18,54,2,9.71,clear sky
19,Krasnoselkup,RU,65.7,82.4667,27.21,95,100,13.6,overcast clouds
20,Jamestown,US,42.097,-79.2353,24.51,53,0,3.44,clear sky
21,Bathsheba,BB,13.2167,-59.5167,77.61,69,40,17.27,scattered clouds
22,Busselton,AU,-33.65,115.3333,69.98,69,82,18.72,broken clouds
23,Cayenne,GF,4.9333,-52.3333,80.1,1,40,4.61,scattered clouds
24,Machico,PT,32.7,-16.7667,64.0,76,75,9.22,broken clouds
25,Camabatela,AO,-8.1881,15.375,62.85,100,100,2.06,light rain
26,Ushuaia,AR,-54.8,-68.3,44.26,70,40,33.38,scattered clouds
27,Dikson,RU,73.5069,80.5464,15.39,95,100,10.6,light snow
28,Iralaya,HN,15.0,-83.2333,78.55,80,85,11.43,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.56,66,23,5.68,few clouds
30,Alindao,CF,5.0267,21.2088,74.28,58,96,3.91,overcast clouds
31,Pital,CO,2.2665,-75.8044,67.42,92,98,4.83,overcast clouds
32,Hobyo,SO,5.3505,48.5268,80.94,69,73,16.53,broken clouds
33,Cape Town,ZA,-33.9258,18.4232,61.27,85,40,10.36,scattered clouds
