City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ormara,PK,2022-03-26 19:57:18,25.2088,64.6357,77.7,70,0,11.77
1,Ponta Do Sol,PT,2022-03-26 19:57:18,32.6667,-17.1,65.07,77,100,14.99
2,Mar Del Plata,AR,2022-03-26 19:57:18,-38.0023,-57.5575,64.42,93,100,15.99
3,Ushuaia,AR,2022-03-26 19:57:18,-54.8,-68.3,49.66,81,75,6.91
4,Bambous Virieux,MU,2022-03-26 19:57:19,-20.3428,57.7575,80.85,83,40,5.75
5,Saint George,US,2022-03-26 19:53:23,37.1041,-113.5841,84.63,14,0,3.44
6,Torbay,CA,2022-03-26 19:57:19,47.6666,-52.7314,40.75,96,100,5.75
7,Rawson,AR,2022-03-26 19:56:38,-43.3002,-65.1023,75.2,31,0,21.56
8,Chuy,UY,2022-03-26 19:57:19,-33.6971,-53.4616,70.0,67,83,14.25
9,Port Elizabeth,ZA,2022-03-26 19:52:42,-33.918,25.5701,66.49,86,100,4.0
10,Port Blair,IN,2022-03-26 19:57:20,11.6667,92.75,78.84,94,20,2.3
11,Grand Gaube,MU,2022-03-26 19:57:20,-20.0064,57.6608,81.0,81,4,3.0
12,Hermanus,ZA,2022-03-26 19:57:20,-34.4187,19.2345,62.8,75,88,13.22
13,Namibe,AO,2022-03-26 19:55:57,-15.1961,12.1522,72.64,77,12,8.93
14,Neuquen,AR,2022-03-26 19:57:20,-38.9516,-68.0591,84.94,11,0,9.62
15,Nurota,UZ,2022-03-26 19:57:21,40.5614,65.6886,44.71,58,5,10.16
16,Santiago,CL,2022-03-26 19:55:07,-33.4569,-70.6483,80.29,37,0,12.66
17,Sambava,MG,2022-03-26 19:57:21,-14.2667,50.1667,78.85,87,5,5.68
18,Nuuk,GL,2022-03-26 19:57:21,64.1835,-51.7216,23.88,68,45,15.01
19,Walvis Bay,NA,2022-03-26 19:57:22,-22.9575,14.5053,65.35,72,0,2.3
20,Andenes,NO,2022-03-26 19:57:20,69.3143,16.1194,28.38,80,75,8.05
21,Sorland,NO,2022-03-26 19:57:22,67.667,12.6934,32.54,52,100,1.01
22,Kavaratti,IN,2022-03-26 19:57:22,10.5669,72.642,81.82,70,1,2.3
23,Clyde River,CA,2022-03-26 19:57:22,70.4692,-68.5914,-1.97,84,100,5.75
24,Busselton,AU,2022-03-26 19:57:23,-33.65,115.3333,63.88,82,97,18.28
25,Cape Town,ZA,2022-03-26 19:55:40,-33.9258,18.4232,68.41,65,0,8.05
26,East London,ZA,2022-03-26 19:57:23,-33.0153,27.9116,66.78,89,96,11.43
27,Faya,SA,2022-03-26 19:57:23,18.3851,42.4509,63.12,45,1,4.54
28,Victoria,HK,2022-03-26 19:57:24,22.2855,114.1577,74.32,90,82,8.01
29,Zhezkazgan,KZ,2022-03-26 19:57:24,47.8043,67.7144,32.32,99,100,7.05
30,Qaanaaq,GL,2022-03-26 19:57:24,77.484,-69.3632,1.45,92,99,3.83
31,Muisne,EC,2022-03-26 19:57:24,0.6,-80.0333,81.5,74,95,6.06
32,Bengkulu,ID,2022-03-26 19:57:25,-3.8004,102.2655,76.08,90,75,7.63
33,Bredasdorp,ZA,2022-03-26 19:57:25,-34.5322,20.0403,64.02,73,58,12.95
34,Taoudenni,ML,2022-03-26 19:57:25,22.6783,-3.9836,86.16,13,26,6.53
35,Hambantota,LK,2022-03-26 19:57:25,6.1241,81.1185,77.9,84,5,3.49
36,Nisia Floresta,BR,2022-03-26 19:57:26,-6.0911,-35.2086,84.58,82,99,6.33
37,Carballo,ES,2022-03-26 19:57:26,43.213,-8.691,58.91,81,100,0.69
38,Marquette,US,2022-03-26 19:57:26,46.5333,-87.6335,18.34,70,100,16.26
39,Zambezi,ZM,2022-03-26 19:57:27,-13.5432,23.1047,66.87,95,99,4.23
40,Cayenne,GF,2022-03-26 19:56:35,4.9333,-52.3333,81.09,1,100,11.5
41,Tema,GH,2022-03-26 19:57:27,5.667,-0.0166,82.81,74,40,5.75
42,Aksarka,RU,2022-03-26 19:57:27,66.5606,67.7975,-5.44,100,94,7.36
43,Longyearbyen,SJ,2022-03-26 19:57:27,78.2186,15.6401,-2.36,78,20,9.22
44,Tasiilaq,GL,2022-03-26 19:57:28,65.6145,-37.6368,20.17,71,2,2.68
45,Yarmouth,US,2022-03-26 19:58:28,41.7057,-70.2286,54.14,74,66,7.0
46,Kisangani,CD,2022-03-26 19:58:28,0.5167,25.2,78.67,65,91,3.18
47,Arraial Do Cabo,BR,2022-03-26 19:58:28,-22.9661,-42.0278,91.36,66,0,18.41
48,Tahoua,NE,2022-03-26 19:58:29,14.8888,5.2692,83.07,9,9,12.39
49,Thinadhoo,MV,2022-03-26 19:58:29,0.5333,72.9333,82.31,70,0,10.67
50,Narsaq,GL,2022-03-26 19:58:29,60.9167,-46.05,26.55,72,31,0.87
51,Mahibadhoo,MV,2022-03-26 19:58:30,3.7833,72.9667,81.77,65,2,4.9
52,Ilulissat,GL,2022-03-26 19:56:04,69.2167,-51.1,16.25,79,100,2.57
53,Port Alfred,ZA,2022-03-26 19:55:39,-33.5906,26.891,65.17,84,100,1.01
54,Mancio Lima,BR,2022-03-26 19:58:30,-7.6142,-72.8958,84.27,74,40,3.44
55,Auburn,US,2022-03-26 19:58:30,47.3073,-122.2284,61.41,79,100,4.0
56,Puerto Del Rosario,ES,2022-03-26 19:58:30,28.5004,-13.8627,64.15,77,20,5.75
57,Harper,LR,2022-03-26 19:58:31,4.375,-7.7169,80.26,84,87,8.23
58,Adrar,MR,2022-03-26 19:58:31,20.5022,-10.0711,77.34,15,1,5.23
59,Filadelfia,US,2022-03-26 19:57:10,39.9523,-75.1638,55.04,45,98,8.99
60,Trofors,NO,2022-03-26 19:58:31,65.5333,13.4063,26.73,81,100,4.25
61,Hasanabad,IR,2022-03-26 19:58:32,36.5465,61.0543,51.06,46,0,6.82
62,Mocuba,MZ,2022-03-26 19:58:32,-16.8392,36.9856,75.11,93,100,2.82
63,Nanortalik,GL,2022-03-26 19:58:32,60.1432,-45.2371,29.16,81,6,2.59
64,Bindura,ZW,2022-03-26 19:58:32,-17.3019,31.3306,66.11,95,100,1.9
65,Bongor,TD,2022-03-26 19:58:33,10.2806,15.3722,88.95,11,21,9.78
66,Totma,RU,2022-03-26 19:58:33,59.9747,42.7642,31.93,97,100,8.81
67,Bonga,ET,2022-03-26 19:58:33,7.2833,36.2333,63.91,77,66,1.28
68,Punta Arenas,CL,2022-03-26 19:55:20,-53.15,-70.9167,53.71,66,100,0.0
69,Asosa,ET,2022-03-26 19:58:34,10.0667,34.5333,71.33,23,43,2.93
70,Coquimbo,CL,2022-03-26 19:58:34,-29.9533,-71.3436,67.73,63,40,11.5
71,Awbari,LY,2022-03-26 19:58:34,26.5921,12.7805,68.07,11,78,11.83
72,El Cobre,CU,2022-03-26 19:58:34,20.0489,-75.9469,82.69,57,73,8.88
73,Mahebourg,MU,2022-03-26 19:58:35,-20.4081,57.7,80.89,83,40,5.75
74,Jamestown,US,2022-03-26 19:58:35,42.097,-79.2353,38.52,61,100,17.27
75,Tarko-Sale,RU,2022-03-26 19:58:35,64.9225,77.785,-3.75,100,61,7.63
76,Gornopravdinsk,RU,2022-03-26 19:58:35,60.05,69.9,11.71,94,17,6.93
77,Newton Abbot,GB,2022-03-26 19:58:36,50.5286,-3.6119,55.58,66,0,3.0
78,Juba,SS,2022-03-26 19:58:36,4.8517,31.5825,81.18,55,98,4.61
79,Destin,US,2022-03-26 19:58:36,30.3935,-86.4958,77.02,42,0,13.29
80,Cidreira,BR,2022-03-26 19:58:36,-30.1811,-50.2056,72.77,65,95,10.67
81,Sao Joao Da Barra,BR,2022-03-26 19:58:37,-21.6403,-41.0511,87.89,82,33,15.14
82,Chapais,CA,2022-03-26 19:58:37,49.7834,-74.8492,33.58,97,100,4.12
83,Camacha,PT,2022-03-26 19:58:37,33.0833,-16.3333,60.22,77,40,13.8
84,Husavik,IS,2022-03-26 19:58:38,66.0449,-17.3389,41.5,89,100,14.27
85,Talnakh,RU,2022-03-26 19:58:38,69.4865,88.3972,20.21,77,100,4.54
86,Hithadhoo,MV,2022-03-26 19:58:38,-0.6,73.0833,83.17,69,0,12.62
87,Vila Franca Do Campo,PT,2022-03-26 19:58:38,37.7167,-25.4333,61.21,87,100,22.46
88,Georgetown,MY,2022-03-26 19:57:12,5.4112,100.3354,82.33,88,20,2.3
89,Eyl,SO,2022-03-26 19:59:39,7.9803,49.8164,77.63,64,1,14.23
90,Monrovia,LR,2022-03-26 19:59:39,6.3005,-10.7969,73.17,85,74,7.81
91,Rafsanjan,IR,2022-03-26 19:59:39,30.4067,55.9939,61.54,11,0,8.05
92,Ouahigouya,BF,2022-03-26 19:59:39,13.5828,-2.4216,91.26,12,16,8.5
93,Shevchenko,UA,2022-03-26 19:59:40,48.5,35.0,51.21,54,99,18.07
94,Florencia,IT,2022-03-26 19:59:40,43.7667,11.25,60.53,38,0,8.05
95,Garissa,KE,2022-03-26 19:59:40,-0.4536,39.6401,83.35,63,96,14.7
96,Mahon,ES,2022-03-26 19:59:41,39.8885,4.2658,55.96,88,40,13.8
97,Souillac,MU,2022-03-26 19:59:41,-20.5167,57.5167,80.98,83,40,5.75
98,Reconquista,AR,2022-03-26 19:59:41,-29.15,-59.65,77.7,46,0,6.78
99,Saint-Philippe,RE,2022-03-26 19:59:41,-21.3585,55.7679,76.59,86,29,7.81
100,Beloha,MG,2022-03-26 19:55:33,-25.1667,45.05,70.12,95,25,5.57
101,Paamiut,GL,2022-03-26 19:59:42,61.994,-49.6678,27.54,81,2,13.2
102,Turukhansk,RU,2022-03-26 19:59:42,65.8167,87.9833,20.53,96,100,4.56
103,Port-Gentil,GA,2022-03-26 19:59:42,-0.7193,8.7815,82.36,89,40,10.36
104,Berlevag,NO,2022-03-26 19:59:42,70.8578,29.0864,22.8,66,100,25.61
105,Ancud,CL,2022-03-26 19:59:43,-41.8697,-73.8203,55.22,92,96,20.18
106,Benguela,AO,2022-03-26 19:59:43,-12.5763,13.4055,77.9,83,98,5.93
107,Sistranda,NO,2022-03-26 19:59:43,63.7256,8.834,33.76,98,100,9.04
108,Ankara,TR,2022-03-26 19:57:17,39.9199,32.8543,35.2,69,6,3.4
109,Iralaya,HN,2022-03-26 19:59:44,15.0,-83.2333,83.23,56,10,11.86
110,Pokhara,NP,2022-03-26 19:57:51,28.2333,83.9833,66.94,21,0,7.18
